HighCarbIm_Fm1,CarbCountingInsulinIm_Fm1,VeryLowCarbIm_Fm1,LowCarbIm_Fm1,NormalCarbIm_Fm1,SlidingScaleInsulinIm_Fm1,
8707.512166002613,10577.885776577357,10423.481626115568,10383.805476692005,10013.363111900911,6485.617246543458,
8784.475709514407,10677.795343606584,10522.610778681521,10481.149092098478,10104.29024814897,6474.152476683898,
8859.854341658347,10777.69771176326,10621.077558404788,10575.192970977061,10193.221627541743,6462.687706824338,
8936.757919445448,10877.594786133033,10720.184425416353,10672.709236587145,10284.164932395614,6451.2229369647785,
9012.82486293082,10977.488118104315,10818.95700291652,10768.614499270187,10374.06360083264,6439.7581671052185,
9090.546642650714,11077.37946026447,10918.347325898258,10865.660571835646,10465.397185273643,6428.2933972456585,
9168.992041326814,11177.047831002272,11017.948966103888,10963.998787678689,10557.626267276406,6416.828627386099,
9244.520451531884,11276.640736927988,11116.484531566999,11056.798220492952,10646.350953512218,6405.363857526539,
9320.385797271565,11376.304205911425,11215.170308598501,11151.662612507564,10735.829037696278,6393.899087666979,
9396.196829562412,11476.088708964427,11313.832302380017,11247.036189305472,10825.40686798544,6382.434317807419,
9473.169782140909,11575.948597924702,11412.964930658552,11344.850814501286,10916.495589664828,6473.780119574093,
9548.302873186689,11675.840405906381,11511.31633835502,11438.481946726899,11005.1527661265,6462.315349714533,
9625.259062564493,11775.742810353815,11610.442770316386,11535.97755730946,11096.124061900557,6450.850579854973,
9713.947487445137,11875.652870256894,11705.679518878696,11634.500494768507,11195.198555910243,6439.385809995413,
9805.710945896499,11975.569548418845,11793.335403093644,11728.659523852477,11295.159290298998,6427.921040135853,
9894.218762965435,12075.531895344971,11888.860739839052,11828.652502829824,11393.772304705857,6416.456270276293,
9977.874557419687,12175.526640000755,11988.501640394516,11926.953587382468,11489.152955631394,6508.912069529037,
10059.579025161145,12275.524925321854,12088.491115023862,12025.519185844838,11583.482334538137,6601.762104885324,
10140.385234921701,12375.50961985431,12188.478923997121,12123.758071676142,11677.15526071778,6694.888792413163,
10221.404667496701,12475.480183900982,12288.475244497522,12222.240935638825,11771.042717955857,6788.173190786568,
10303.174607078417,12575.443379506063,12388.461207647959,12321.56508738312,11865.717455557526,6881.523720125753,
10384.48464223594,12675.406309114418,12488.461144447832,12420.283918101095,11959.866488528778,6974.876499297319,
10466.60251119056,12775.374106584402,12588.419632760571,12520.015386158051,12054.971968844799,7068.186652842183,
10548.123803258171,12875.3497463535,12688.416220007732,12619.332800777871,12149.497308035017,7056.721882982623,
10629.571431503613,12975.334097461975,12788.414558381448,12718.798265210724,12244.053767992247,7045.257113123063,
10714.143083294013,13075.325998014281,12887.6905573816,12818.796189342327,12340.855090051642,7033.792343263503,
10798.726108591773,13175.325861421517,12986.961086182315,12918.755537320234,12437.51657273788,7022.3275734039435,
10881.622859766503,13275.32546486155,13086.801014453249,13017.928800381238,12532.775436892758,7010.8628035443835,
10961.453688593772,13375.324954287209,13186.690790361365,13113.797122524567,12625.145868105063,6999.3980336848235,
11041.731646118382,13475.324756290991,13286.63714461449,13212.274182012017,12718.577301266543,6987.933263825264,
11121.561407608326,13575.3245603539,13386.526762907817,13310.743974751369,12811.728304452068,7080.593188927666,
11201.619559193976,13675.32384437471,13486.447683645754,13409.821152021328,12905.262765700681,7173.208887011971,
11281.64829451067,13775.321434639229,13586.364848376206,13509.066147722653,12998.856452101421,7265.746781204546,
11359.017993372368,13875.315532670562,13685.6387401229,13603.691037066445,13089.289733161666,7358.187328635634,
11436.4116030939,13975.303877150007,13784.920809274086,13698.909595520086,13179.892791395292,7450.517643979474,
11514.436853251591,14075.28383997921,13884.40446034055,13796.018001566232,13271.443758641268,7542.727905576402,
11591.133007358507,14175.253086724857,13983.432470966056,13890.760837950522,13361.453901353332,7634.8161342794965,
11668.727783770595,14275.210346166441,14082.78178698425,13987.966238469064,13452.753109312216,7726.79007095281,
11745.788525744121,14375.155425444182,14181.946567737135,14084.510324271858,13543.500963024466,7818.662550462577,
11821.747516746862,14475.089037691909,14280.672955950806,14178.958315129888,13632.934069792349,7910.448772426232,
11898.580017611419,14575.012475973372,14379.753109263793,14275.686509474239,13723.584547765808,8002.164101788049,
11975.012688921868,14674.92730464732,14478.677073191822,14371.814149394582,13813.79265154507,8093.82277146358,
12052.220176026673,14774.835117598172,14577.894470798623,14469.64450462474,13905.040771728725,8185.437189871545,
12128.66910240423,14874.737337751196,14676.824977100485,14566.142237172158,13995.3668819983,8277.017425037504,
12205.09875021774,14974.63525142121,14775.747722353442,14662.707438430662,14085.699983381417,8368.57194266745,
12282.232165217933,15074.530057388041,14874.938738238216,14760.681413220162,14176.94916459902,8460.108207169433,
12356.674795267661,15174.4226426892,14972.949039896115,14852.613736725674,14264.70814550563,8551.631578268702,
12432.257078037752,15274.313659294761,15071.509046777297,14947.474615917796,14353.992034093242,8643.14591415597,
12507.931433332627,15374.20358874987,15170.11045495111,15042.580597838298,14443.40430240915,8734.654022948467,
12583.897329245536,15474.09278396182,15268.83981770952,15138.368274994671,14533.20160026019,8723.189253088907,
12659.22640127595,15573.981500088265,15367.28356963311,15232.685716466887,14622.169310028634,8711.724483229347,
12734.868874575333,15673.869918638846,15465.87069497758,15327.7578095098,14711.550716960219,8700.259713369787,
12810.865146893335,15773.758166321171,15564.61311085472,15423.636557906837,14801.394135625073,8688.794943510227,
12895.810661294789,15873.649275410691,15663.696343323027,15523.61386854213,14898.442166242803,8677.330173650667,
12980.625961328711,15973.378714202432,15762.849787970397,15622.678649400948,14994.721792245158,8665.865403791107,
13064.78722160222,16073.113185065667,15862.307335512101,15722.115823584743,15090.80174846856,8654.400633931547,
13147.090355861908,16172.958577084173,15962.244961202234,15821.794102505599,15185.977494060731,8642.935864071987,
13226.413236417651,16272.905858257614,16062.048087497365,15919.304222208708,15278.488135364802,8631.471094212427,
13305.614029757542,16372.89376051348,16161.827003541308,16017.39565777111,15371.110534204277,8723.794191401863,
13384.512251043394,16472.891340737515,16261.540489736428,16114.818701353137,15463.32284748534,8712.329421542303,
13463.208235595384,16572.89048784114,16361.206043279419,16211.641830218243,15555.224857353165,8700.864651682743,
13550.087342488117,16672.889802125224,16458.802573630805,16311.29447962645,15653.382550336735,8689.399881823183,
13637.10862377049,16772.834331760914,16556.25220625472,16411.27635536643,15751.265382437015,8677.935111963623,
13721.896515927376,16872.76333551075,16655.42000582667,16510.259968586586,15847.500733041545,8666.470342104063,
13803.872294102139,16972.727384913003,16755.391530578196,16608.119748637724,15941.76152301742,8758.506819116154,
13884.000217468838,17072.72279777704,16855.321029785868,16705.26254532826,16034.671299518883,8850.97937927069,
13962.620950003675,17172.722350688266,16954.967909497016,16800.306491954052,16126.042631160295,8943.760247617882,
14041.58056597089,17272.718717312182,17054.695287980267,16896.257308890275,16217.872406891654,9036.674311563876,
14121.748574319197,17372.714501625273,17154.62950415721,16994.567499385066,16311.176529603783,9129.604101901366,
14200.518496753828,17472.711626558317,17254.31296506497,17090.282507095246,16402.819885806875,9222.495614711797,
14280.806972028167,17572.710491865808,17354.2604185487,17189.107932259234,16496.389974994316,9315.319337132225,
14360.979178344878,17672.710442028172,17454.195119744432,17288.031448195197,16589.928652420345,9303.854567272665,
14439.825897106182,17772.709840028823,17553.89671377536,17385.09089841243,16681.997487653927,9292.389797413105,
14519.73261587378,17872.70642452052,17653.797425562465,17481.025021176545,16774.43379406972,9280.925027553545,
14601.01578113045,17972.62161306688,17753.797423107604,17579.585457297682,16868.508548084777,9269.460257693985,
14681.408921236565,18072.485191485823,17853.75522036941,17677.87884265896,16961.94609920587,9257.995487834425,
14759.879414796827,18172.364348455583,17953.363482622884,17774.507224461307,17053.64552135307,9246.530717974865,
14837.104992042685,18272.287160444484,18052.587267918938,17869.996755655444,17144.208391658532,9235.065948115305,
14913.305623078735,18372.235250559777,18151.416103982265,17963.822673270886,17233.648312053607,9326.962434520152,
14990.21315280345,18472.190364276954,18250.52444680711,18059.59808594661,17324.076215789886,9418.917598455066,
15066.2626903415,18572.143286032006,18349.289622569046,18153.51897041398,17413.436709048547,9510.854015397164,
15142.629274643765,18672.091154889156,18448.18682266337,18248.41524124092,17503.263896666766,9602.748715825568,
15218.164361077603,18772.03322389274,18546.725425716824,18341.482888854945,17592.058722173464,9694.597799297537,
15293.73778677944,18871.9690105604,18645.28142520675,18434.89388541153,17680.964778639693,9786.399810828465,
15371.355451137926,18971.898348884297,18744.63821486098,18532.9421529421,17772.556114171726,9878.15568027296,
15448.706755619241,19071.82137710823,18843.905789412474,18630.677721333475,17863.86642837253,9969.8682465685,
15526.077554987049,19171.73848404576,18943.18005837955,18728.586706797236,17955.24839448228,10061.54164286385,
15602.460536045653,19271.650235041834,19042.083923452657,18824.692362026337,18045.4168425895,10153.180702388381,
15679.521929131122,19371.55729486705,19141.24894079612,18922.276859705,18136.48660903706,10244.790463566062,
15754.326700633259,19471.4603563819,19239.44115451008,19014.837074220686,18224.650604948212,10336.375783026946,
15830.355874466763,19571.360058653627,19338.197648415087,19110.49124401265,18314.45358406472,10427.940920696135,
15907.379832427738,19671.256747185267,19437.349018228535,19208.234768929495,18405.551718155588,10519.48821270591,
15982.875222220038,19771.15093045305,19535.86952397777,19302.8010036903,18494.698431987756,10611.020849390026,
16057.306045259804,19871.043608799195,19633.87378594578,19394.69877477581,18582.440841542113,10702.544758274755,
16132.571732177052,19970.935293322444,19732.287894578236,19488.77734415467,18671.303324958713,10794.062933905407,
