HighCarbIm_Fm1,CarbCountingInsulinIm_Fm1,VeryLowCarbIm_Fm1,LowCarbIm_Fm1,NormalCarbIm_Fm1,SlidingScaleInsulinIm_Fm1,
-597.7148918866453,8.249293144736708,87.4372045445178,-20.91267325029294,-186.872563813885,-1566.653144393875,
-617.251924790932,12.463046055649727,90.55029709373494,-21.050362269964772,-192.70436323594686,-1570.7013655571593,
-638.1213492451254,16.67897053190547,93.05522260091355,-24.55221611066371,-200.31004066432888,-1574.7356355162433,
-658.583333825089,20.894742590043062,95.7563229639191,-26.986366819999894,-207.3716594385209,-1578.770890037815,
-676.9924257352201,25.108868197080934,99.30299475077713,-24.849587160248948,-211.76669404325958,-1685.935659897375,
-696.455706383018,29.320489057820442,102.44683699988754,-24.76097997789015,-217.4860580864825,-1793.100429756935,
-714.0689817950155,33.529715455193774,106.24857778616325,-23.13291157355723,-221.52742926811257,-1900.265199616495,
-730.9362366059349,37.61685652385679,110.24690796684116,-20.363687466004126,-224.7031705636296,-2007.429969476055,
-750.0923131515384,41.66770112507482,113.51532625005717,-21.610523594403514,-230.57075707976065,-2114.594739335615,
-769.1055172939908,45.75749345648874,116.83971510534396,-21.390054070475802,-235.9505292427373,-2221.759509195175,
-789.8239453324943,49.91208484421088,119.4183453020371,-24.58724632130185,-243.37732127474246,-2328.9242790547346,
-809.5151625474074,54.107892494039184,122.46612159000387,-25.051984356063155,-249.40261584799353,-2333.082158258672,
-830.1282230741461,58.32108655155537,125.0954884243013,-27.86364929926795,-256.6621071384959,-2337.13394362546,
-848.6175585821899,62.53905618053239,128.61400955486727,-25.96059244669656,-261.1880458476729,-2341.1549225162107,
-868.0541046270628,66.75735700640438,131.76891867902114,-26.00570666775758,-266.9264408034087,-2345.17373476529,
-887.7546842724605,70.97435693332694,134.8126842603536,-26.615608526497144,-272.99707097823534,-2349.2010343093116,
-908.5320153399895,75.18899433672847,137.3627014303975,-29.829439177439223,-280.46891790079866,-2353.243592728603,
-927.1531176798674,79.40068389735555,140.83406890603965,-28.01970569036641,-285.1121068483575,-2357.304921436816,
-945.5510304589732,83.60920454831955,144.3846282518357,-25.74015436503364,-289.4505764269969,-2361.3861108307983,
-966.0384026265413,87.81459486380083,147.07375825769182,-27.90337472603388,-296.46214275909585,-2365.486612620694,
-986.182057434545,92.0170636468861,149.9220174505366,-29.128763877811938,-302.9975609251707,-2369.6048770826574,
-1006.4085815696379,96.2169173548784,152.73249596723832,-30.478127448857425,-309.6220256964154,-2373.7388362992606,
-1027.2931412787825,100.41450199722667,155.22996951508517,-33.416915050795524,-317.10148010667285,-2377.886263063946,
-1045.8936921710938,104.61013946332766,158.7087668076524,-31.21846078298626,-321.60083908619214,-2382.0451390373723,
-1066.3817230898103,108.80393269571103,161.39758575509424,-33.033584173873415,-328.52489376590245,-2386.214769745795,
-1087.150439604964,112.99615227960247,163.95179870183142,-35.51013610729943,-335.8096456036327,-2390.393510389642,
-1106.6497466429112,117.18749707275582,167.08066058120775,-34.964991332870824,-341.4238245952211,-2394.577289146387,
-1126.3982681662621,121.37828497599035,170.10380938089983,-34.95009295022151,-347.3566073320302,-2398.764265575161,
-1147.0596051187879,125.56865037038352,172.71000163108943,-37.099287336438294,-354.48500260413,-2402.9536631275278,
-1167.258951467094,129.7586677293828,175.53291207896444,-38.104680779255105,-361.0009667783441,-2407.1450518690062,
-1187.3836243273106,133.94839154933865,178.38977224125,-38.92505204979378,-367.4168527405433,-2514.309821728566,
-1206.8928361435476,138.1378682754143,181.51450208040526,-38.35518967623449,-373.0305517538981,-2621.474591588126,
-1225.6423228776328,142.32713956126116,184.9388318197699,-36.289268274835635,-377.67317734345767,-2728.6393614476856,
-1244.306608036244,146.51624285959596,188.39449762505143,-34.0703251761557,-382.20727270550645,-2835.8041313072454,
-1263.5425550309649,150.70579139783354,191.63107767694126,-35.49711842667498,-388.1750170785396,-2942.968901166805,
-1280.899120857099,154.89187195965266,195.5053118325373,-33.55445809254423,-391.9501300382807,-3050.133671026365,
-1300.4245663491513,159.08581563337907,198.62325683137692,-36.096985886640304,-398.39323156254807,-3157.2984408859247,
