G,I,GI,II
146.5031,65.7921,0.0000,0.0000
146.5026,65.8040,0.0000,0.0000
146.5020,65.8161,0.0000,0.0000
146.5014,65.8282,0.0000,0.0000
146.5006,65.8402,0.0000,0.0000
146.4998,65.8522,0.0000,0.0000
146.4988,65.8640,0.0000,0.0000
146.4978,65.8758,0.0000,0.0000
146.4967,65.8873,0.0000,0.0000
146.4955,65.8987,0.0000,0.0000
146.4942,65.9100,0.0000,0.0000
146.4929,65.9211,0.0000,0.0000
146.4914,65.9320,0.0000,0.0000
146.4899,65.9428,0.0000,0.0000
146.4883,65.9535,0.0000,0.0000
146.4866,65.9639,0.0000,0.0000
146.4848,65.9743,0.0000,0.0000
146.4830,65.9844,0.0000,0.0000
146.4810,65.9944,0.0000,0.0000
146.4790,66.0043,0.0000,0.0000
146.4770,66.0140,0.0000,0.0000
146.4748,66.0235,0.0000,0.0000
146.4726,66.0329,0.0000,0.0000
146.4702,66.0421,0.0000,0.0000
146.4679,66.0512,0.0000,0.0000
146.4654,66.0601,0.0000,0.0000
146.4629,66.0688,0.0000,0.0000
146.4603,66.0775,0.0000,0.0000
146.4576,66.0859,0.0000,0.0000
146.4549,66.0942,0.0000,0.0000
146.4520,66.1024,0.0000,0.0000
146.4492,66.1104,0.0000,0.0000
146.4462,66.1183,0.0000,0.0000
146.4432,66.1260,0.0000,0.0000
146.4401,66.1336,0.0000,0.0000
146.4370,66.1410,0.0000,0.0000
146.4338,66.1483,0.0000,0.0000
146.4305,66.1554,0.0000,0.0000
146.4272,66.1624,0.0000,0.0000
146.4238,66.1692,0.0000,0.0000
146.4203,66.1759,0.0000,0.0000
146.4168,66.1825,0.0000,0.0000
146.4133,66.1889,0.0000,0.0000
146.4096,66.1952,0.0000,0.0000
146.4060,66.2013,0.0000,0.0000
146.4022,66.2073,0.0000,0.0000
146.3984,66.2132,0.0000,0.0000
146.3946,66.2189,0.0000,0.0000
146.3907,66.2245,0.0000,0.0000
146.3867,66.2299,0.0000,0.0000
146.3827,66.2352,0.0000,0.0000
146.3787,66.2404,0.0000,0.0000
146.3746,66.2454,0.0000,0.0000
146.3704,66.2503,0.0000,0.0000
146.3662,66.2551,0.0000,0.0000
146.3619,66.2597,0.0000,0.0000
146.3576,66.2642,0.0000,0.0000
146.3533,66.2686,0.0000,0.0000
146.3489,66.2728,0.0000,0.0000
146.3445,66.2770,0.0000,0.0000
146.3400,66.2809,0.0000,0.0000
146.3355,66.2848,0.0000,0.0000
146.3309,66.2885,0.0000,0.0000
146.3263,66.2921,0.0000,0.0000
146.3217,66.2956,0.0000,0.0000
146.3170,66.2990,0.0000,0.0000
146.3123,66.3022,0.0000,0.0000
146.3075,66.3053,0.0000,0.0000
146.3028,66.3083,0.0000,0.0000
146.2979,66.3112,0.0000,0.0000
146.2931,66.3139,0.0000,0.0000
146.2882,66.3165,0.0000,0.0000
146.2832,66.3190,0.0000,0.0000
146.2783,66.3214,0.0000,0.0000
146.2733,66.3237,0.0000,0.0000
146.2682,66.3259,0.0000,0.0000
146.2632,66.3279,0.0000,0.0000
146.2581,66.3298,0.0000,0.0000
146.2530,66.3317,0.0000,0.0000
146.2478,66.3334,0.0000,0.0000
146.2426,66.3350,0.0000,0.0000
146.2374,66.3364,0.0000,0.0000
146.2322,66.3378,0.0000,0.0000
146.2270,66.3391,0.0000,0.0000
146.2217,66.3402,0.0000,0.0000
146.2164,66.3413,0.0000,0.0000
146.2110,66.3422,0.0000,0.0000
146.2057,66.3431,0.0000,0.0000
146.2003,66.3438,0.0000,0.0000
146.1949,66.3444,0.0000,0.0000
146.1895,66.3450,0.0000,0.0000
146.1841,66.3454,0.0000,0.0000
146.1786,66.3457,0.0000,0.0000
146.1731,66.3459,0.0000,0.0000
146.1676,66.3461,0.0000,0.0000
146.1621,66.3461,0.0000,0.0000
146.1566,66.3460,0.0000,0.0000
146.1510,66.3458,0.0000,0.0000
146.1455,66.3456,0.0000,0.0000
146.1399,66.3452,0.0000,0.0000
146.1343,66.3448,0.0000,0.0000
146.1287,66.3442,0.0000,0.0000
146.1231,66.3436,0.0000,0.0000
146.1174,66.3429,0.0000,0.0000
146.1118,66.3421,0.0000,0.0000
146.1061,66.3412,0.0000,0.0000
146.1005,66.3402,0.0000,0.0000
146.0948,66.3391,0.0000,0.0000
146.0891,66.3379,0.0000,0.0000
146.0834,66.3367,0.0000,0.0000
146.0777,66.3353,0.0000,0.0000
146.0720,66.3339,0.0000,0.0000
146.0662,66.3324,0.0000,0.0000
146.0605,66.3308,0.0000,0.0000
146.0548,66.3291,0.0000,0.0000
146.0490,66.3274,0.0000,0.0000
146.0433,66.3256,0.0000,0.0000
146.0375,66.3237,0.0000,0.0000
146.0317,66.3217,0.0000,0.0000
146.0260,66.3196,0.0000,0.0000
146.0202,66.3175,0.0000,0.0000
146.0144,66.3153,0.0000,0.0000
146.0087,66.3130,0.0000,0.0000
146.0029,66.3106,0.0000,0.0000
145.9971,66.3082,0.0000,0.0000
145.9913,66.3057,0.0000,0.0000
145.9855,66.3031,0.0000,0.0000
145.9797,66.3005,0.0000,0.0000
145.9740,66.2978,0.0000,0.0000
145.9682,66.2950,0.0000,0.0000
145.9624,66.2922,0.0000,0.0000
145.9566,66.2892,0.0000,0.0000
145.9508,66.2863,0.0000,0.0000
145.9451,66.2832,0.0000,0.0000
145.9393,66.2801,0.0000,0.0000
145.9335,66.2769,0.0000,0.0000
145.9277,66.2737,0.0000,0.0000
145.9220,66.2704,0.0000,0.0000
145.9162,66.2671,0.0000,0.0000
145.9105,66.2637,0.0000,0.0000
145.9047,66.2602,0.0000,0.0000
145.8990,66.2567,0.0000,0.0000
145.8932,66.2531,0.0000,0.0000
145.8875,66.2494,0.0000,0.0000
145.8818,66.2457,0.0000,0.0000
145.8760,66.2420,0.0000,0.0000
145.8703,66.2382,0.0000,0.0000
145.8646,66.2343,0.0000,0.0000
145.8589,66.2304,0.0000,0.0000
145.8532,66.2264,0.0000,0.0000
145.8476,66.2224,0.0000,0.0000
145.8419,66.2184,0.0000,0.0000
145.8362,66.2142,0.0000,0.0000
145.8306,66.2101,0.0000,0.0000
145.8249,66.2059,0.0000,0.0000
145.8193,66.2016,0.0000,0.0000
145.8137,66.1973,0.0000,0.0000
145.8081,66.1930,0.0000,0.0000
145.8025,66.1886,0.0000,0.0000
145.7969,66.1841,0.0000,0.0000
145.7913,66.1797,0.0000,0.0000
145.7858,66.1751,0.0000,0.0000
145.7802,66.1706,0.0000,0.0000
145.7747,66.1660,0.0000,0.0000
145.7691,66.1613,0.0000,0.0000
145.7636,66.1566,0.0000,0.0000
145.7581,66.1519,0.0000,0.0000
145.7527,66.1472,0.0000,0.0000
145.7472,66.1424,0.0000,0.0000
145.7417,66.1375,0.0000,0.0000
145.7363,66.1327,0.0000,0.0000
145.7309,66.1278,0.0000,0.0000
145.7255,66.1228,0.0000,0.0000
145.7201,66.1179,0.0000,0.0000
145.7147,66.1129,0.0000,0.0000
145.7093,66.1078,0.0000,0.0000
145.7040,66.1028,0.0000,0.0000
145.6987,66.0977,0.0000,0.0000
145.6934,66.0925,0.0000,0.0000
145.6881,66.0874,0.0000,0.0000
145.6828,66.0822,0.0000,0.0000
145.6775,66.0770,0.0000,0.0000
145.6723,66.0717,0.0000,0.0000
145.6671,66.0665,0.0000,0.0000
145.6619,66.0612,0.0000,0.0000
145.6567,66.0559,0.0000,0.0000
145.6515,66.0505,0.0000,0.0000
145.6464,66.0451,0.0000,0.0000
145.6412,66.0398,0.0000,0.0000
145.6361,66.0343,0.0000,0.0000
145.6310,66.0289,0.0000,0.0000
145.6259,66.0234,0.0000,0.0000
145.6209,66.0180,0.0000,0.0000
145.6158,66.0125,0.0000,0.0000
145.6108,66.0069,0.0000,0.0000
145.6058,66.0014,0.0000,0.0000
145.6009,65.9959,0.0000,0.0000
145.5959,65.9903,0.0000,0.0000
145.5910,65.9847,0.0000,0.0000
145.5861,65.9791,0.0000,0.0000
145.5812,65.9735,0.0000,0.0000
145.5763,65.9678,0.0000,0.0000
145.5714,65.9622,0.0000,0.0000
145.5666,65.9565,0.0000,0.0000
145.5618,65.9508,0.0000,0.0000
145.5570,65.9451,0.0000,0.0000
145.5523,65.9394,0.0000,0.0000
145.5475,65.9337,0.0000,0.0000
145.5428,65.9279,0.0000,0.0000
145.5381,65.9222,0.0000,0.0000
145.5334,65.9164,0.0000,0.0000
145.5288,65.9107,0.0000,0.0000
145.5241,65.9049,0.0000,0.0000
145.5195,65.8991,0.0000,0.0000
145.5149,65.8933,0.0000,0.0000
145.5104,65.8875,0.0000,0.0000
145.5058,65.8817,0.0000,0.0000
145.5013,65.8759,0.0000,0.0000
145.4968,65.8700,0.0000,0.0000
145.4923,65.8642,0.0000,0.0000
145.4879,65.8584,0.0000,0.0000
145.4834,65.8525,0.0000,0.0000
145.4790,65.8467,0.0000,0.0000
145.4747,65.8408,0.0000,0.0000
145.4703,65.8350,0.0000,0.0000
145.4660,65.8291,0.0000,0.0000
145.4616,65.8233,0.0000,0.0000
145.4574,65.8174,0.0000,0.0000
145.4531,65.8115,0.0000,0.0000
145.4489,65.8057,0.0000,0.0000
145.4446,65.7998,0.0000,0.0000
145.4404,65.7939,0.0000,0.0000
145.4363,65.7881,0.0000,0.0000
145.4321,65.7822,0.0000,0.0000
145.4280,65.7763,0.0000,0.0000
145.4239,65.7705,0.0000,0.0000
145.4198,65.7646,0.0000,0.0000
145.4158,65.7587,0.0000,0.0000
145.4118,65.7529,0.0000,0.0000
145.4078,65.7470,0.0000,0.0000
145.4038,65.7412,0.0000,0.0000
145.3998,65.7353,0.0000,0.0000
145.3959,65.7295,0.0000,0.0000
145.3920,65.7236,0.0000,0.0000
145.3881,65.7178,0.0000,0.0000
145.3843,65.7120,0.0000,0.0000
145.3804,65.7061,0.0000,0.0000
145.3766,65.7003,0.0000,0.0000
145.3729,65.6945,0.0000,0.0000
145.3691,65.6887,0.0000,0.0000
145.3654,65.6829,0.0000,0.0000
145.3617,65.6771,0.0000,0.0000
145.3580,65.6713,0.0000,0.0000
145.3543,65.6655,0.0000,0.0000
145.3507,65.6598,0.0000,0.0000
145.3471,65.6540,0.0000,0.0000
145.3435,65.6482,0.0000,0.0000
145.3399,65.6425,0.0000,0.0000
145.3364,65.6368,0.0000,0.0000
145.3329,65.6310,0.0000,0.0000
145.3294,65.6253,0.0000,0.0000
145.3259,65.6196,0.0000,0.0000
145.3225,65.6139,0.0000,0.0000
145.3191,65.6082,0.0000,0.0000
145.3157,65.6026,0.0000,0.0000
145.3123,65.5969,0.0000,0.0000
145.3090,65.5912,0.0000,0.0000
145.3056,65.5856,0.0000,0.0000
145.3023,65.5800,0.0000,0.0000
145.2991,65.5744,0.0000,0.0000
145.2958,65.5688,0.0000,0.0000
145.2926,65.5632,0.0000,0.0000
145.2894,65.5576,0.0000,0.0000
145.2862,65.5521,0.0000,0.0000
145.2831,65.5465,0.0000,0.0000
145.2800,65.5410,0.0000,0.0000
145.2769,65.5355,0.0000,0.0000
145.2738,65.5300,0.0000,0.0000
145.2707,65.5245,0.0000,0.0000
145.2677,65.5190,0.0000,0.0000
145.2647,65.5135,0.0000,0.0000
145.2617,65.5081,0.0000,0.0000
145.2588,65.5027,0.0000,0.0000
145.2558,65.4973,0.0000,0.0000
145.2529,65.4919,0.0000,0.0000
145.2500,65.4865,0.0000,0.0000
145.2472,65.4812,0.0000,0.0000
145.2443,65.4758,0.0000,0.0000
145.2415,65.4705,0.0000,0.0000
145.2387,65.4652,0.0000,0.0000
145.2360,65.4599,0.0000,0.0000
145.2332,65.4546,0.0000,0.0000
145.2305,65.4494,0.0000,0.0000
145.2278,65.4441,0.0000,0.0000
145.2251,65.4389,0.0000,0.0000
145.2225,65.4337,0.0000,0.0000
145.2199,65.4285,0.0000,0.0000
145.2172,65.4234,0.0000,0.0000
145.2147,65.4182,0.0000,0.0000
145.2121,65.4131,0.0000,0.0000
145.2096,65.4080,0.0000,0.0000
145.2071,65.4029,0.0000,0.0000
145.2046,65.3979,0.0000,0.0000
145.2021,65.3928,0.0000,0.0000
145.1997,65.3878,0.0000,0.0000
145.1972,65.3828,0.0000,0.0000
145.1948,65.3778,0.0000,0.0000
145.1925,65.3729,0.0000,0.0000
145.1901,65.3679,0.0000,0.0000
145.1878,65.3630,0.0000,0.0000
145.1854,65.3581,0.0000,0.0000
145.1832,65.3532,0.0000,0.0000
145.1809,65.3483,0.0000,0.0000
145.1786,65.3435,0.0000,0.0000
145.1764,65.3387,0.0000,0.0000
145.1742,65.3339,0.0000,0.0000
145.1720,65.3291,0.0000,0.0000
145.1699,65.3244,0.0000,0.0000
145.1677,65.3196,0.0000,0.0000
145.1656,65.3149,0.0000,0.0000
145.1635,65.3102,0.0000,0.0000
145.1615,65.3056,0.0000,0.0000
145.1594,65.3009,0.0000,0.0000
145.1574,65.2963,0.0000,0.0000
145.1554,65.2917,0.0000,0.0000
145.1534,65.2872,0.0000,0.0000
145.1514,65.2826,0.0000,0.0000
145.1495,65.2781,0.0000,0.0000
145.1475,65.2736,0.0000,0.0000
145.1456,65.2691,0.0000,0.0000
145.1437,65.2646,0.0000,0.0000
145.1419,65.2602,0.0000,0.0000
145.1400,65.2558,0.0000,0.0000
145.1382,65.2514,0.0000,0.0000
145.1364,65.2470,0.0000,0.0000
145.1346,65.2427,0.0000,0.0000
145.1329,65.2383,0.0000,0.0000
145.1311,65.2340,0.0000,0.0000
145.1294,65.2298,0.0000,0.0000
145.1277,65.2255,0.0000,0.0000
145.1260,65.2213,0.0000,0.0000
145.1243,65.2171,0.0000,0.0000
145.1227,65.2129,0.0000,0.0000
145.1211,65.2087,0.0000,0.0000
145.1195,65.2046,0.0000,0.0000
145.1179,65.2005,0.0000,0.0000
145.1163,65.1964,0.0000,0.0000
145.1148,65.1923,0.0000,0.0000
145.1132,65.1883,0.0000,0.0000
145.1117,65.1843,0.0000,0.0000
145.1102,65.1803,0.0000,0.0000
145.1087,65.1763,0.0000,0.0000
145.1073,65.1724,0.0000,0.0000
145.1058,65.1685,0.0000,0.0000
145.1044,65.1646,0.0000,0.0000
145.1030,65.1607,0.0000,0.0000
145.1016,65.1568,0.0000,0.0000
145.1003,65.1530,0.0000,0.0000
145.0989,65.1492,0.0000,0.0000
145.0976,65.1454,0.0000,0.0000
145.0963,65.1417,0.0000,0.0000
145.0950,65.1380,0.0000,0.0000
145.0937,65.1343,0.0000,0.0000
145.0924,65.1306,0.0000,0.0000
145.0912,65.1269,0.0000,0.0000
145.0900,65.1233,0.0000,0.0000
145.0888,65.1197,0.0000,0.0000
145.0876,65.1161,0.0000,0.0000
145.0864,65.1125,0.0000,0.0000
145.0852,65.1090,0.0000,0.0000
145.0841,65.1055,0.0000,0.0000
145.0830,65.1020,0.0000,0.0000
145.0819,65.0985,0.0000,0.0000
145.0808,65.0951,0.0000,0.0000
145.0797,65.0917,0.0000,0.0000
145.0786,65.0883,0.0000,0.0000
145.0776,65.0849,0.0000,0.0000
145.0766,65.0816,0.0000,0.0000
145.0756,65.0783,0.0000,0.0000
145.0746,65.0750,0.0000,0.0000
145.0736,65.0717,0.0000,0.0000
145.0726,65.0685,0.0000,0.0000
145.0717,65.0652,0.0000,0.0000
145.0707,65.0620,0.0000,0.0000
145.0698,65.0589,0.0000,0.0000
145.0689,65.0557,0.0000,0.0000
145.0680,65.0526,0.0000,0.0000
145.0671,65.0495,0.0000,0.0000
145.0663,65.0464,0.0000,0.0000
145.0654,65.0433,0.0000,0.0000
145.0646,65.0403,0.0000,0.0000
145.0638,65.0373,0.0000,0.0000
145.0630,65.0343,0.0000,0.0000
145.0622,65.0313,0.0000,0.0000
145.0614,65.0284,0.0000,0.0000
145.0607,65.0255,0.0000,0.0000
145.0599,65.0226,0.0000,0.0000
145.0592,65.0197,0.0000,0.0000
145.0585,65.0169,0.0000,0.0000
145.0578,65.0140,0.0000,0.0000
145.0571,65.0112,0.0000,0.0000
145.0564,65.0085,0.0000,0.0000
145.0558,65.0057,0.0000,0.0000
145.0551,65.0030,0.0000,0.0000
145.0545,65.0003,0.0000,0.0000
145.0538,64.9976,0.0000,0.0000
145.0532,64.9949,0.0000,0.0000
145.0526,64.9923,0.0000,0.0000
145.0521,64.9897,0.0000,0.0000
145.0515,64.9871,0.0000,0.0000
145.0509,64.9845,0.0000,0.0000
145.0504,64.9819,0.0000,0.0000
145.0499,64.9794,0.0000,0.0000
145.0493,64.9769,0.0000,0.0000
145.0488,64.9744,0.0000,0.0000
145.0483,64.9720,0.0000,0.0000
145.0478,64.9695,0.0000,0.0000
145.0474,64.9671,0.0000,0.0000
145.0469,64.9647,0.0000,0.0000
145.0465,64.9623,0.0000,0.0000
145.0460,64.9600,0.0000,0.0000
145.0456,64.9577,0.0000,0.0000
145.0452,64.9554,0.0000,0.0000
145.0448,64.9531,0.0000,0.0000
145.0444,64.9508,0.0000,0.0000
145.0440,64.9486,0.0000,0.0000
145.0436,64.9463,0.0000,0.0000
145.0433,64.9441,0.0000,0.0000
145.0429,64.9420,0.0000,0.0000
145.0426,64.9398,0.0000,0.0000
145.0423,64.9377,0.0000,0.0000
145.0420,64.9356,0.0000,0.0000
145.0417,64.9335,0.0000,0.0000
145.0414,64.9314,0.0000,0.0000
145.0411,64.9293,0.0000,0.0000
145.0408,64.9273,0.0000,0.0000
145.0405,64.9253,0.0000,0.0000
145.0403,64.9233,0.0000,0.0000
145.0400,64.9213,0.0000,0.0000
145.0398,64.9194,0.0000,0.0000
145.0396,64.9175,0.0000,0.0000
