HighCarbIm_Fm1,CarbCountingInsulinIm_Fm1,VeryLowCarbIm_Fm1,LowCarbIm_Fm1,NormalCarbIm_Fm1,SlidingScaleInsulinIm_Fm1,
-401.15850732681594,-32.978453372461836,56.43072714847055,-18.839349961118707,-127.71914407816534,-1008.4321003314478,
-423.2238790567137,-28.90017775832958,58.31251114823474,-22.762409520214675,-136.2663601803021,-1013.1619086697276,
-444.237469211685,-24.77581354037066,60.74598638351247,-24.24758101930654,-143.46883191877376,-1120.3266785292876,
-466.17130550400856,-20.633286882464553,62.69958195018587,-28.40207026454762,-151.97872283193178,-1227.4914483888476,
-486.0237799489606,-16.478942513496506,65.6775741854098,-30.422954704427845,-158.5173207983519,-1334.6562182484076,
-504.59245982488875,-12.675399438526028,69.16783867646593,-29.400735477470484,-163.3701780761732,-1441.8209881079677,
-523.396552246276,-8.980014968915317,72.57183846149846,-28.193719074737853,-168.32370892229895,-1548.9857579675277,
-542.4455364556937,-5.163229796194666,75.88232946134572,-26.626353341710132,-173.32790516944155,-1554.627238289083,
-563.761970060357,-1.1515824578549037,78.16235032699335,-29.814980489026283,-181.17006123211198,-1559.6200388248558,
-583.3404183486477,2.97721627683692,81.2580348225275,-28.949078319281398,-186.74347704793962,-1564.1264759429157,
-604.0009227890032,7.154452904620378,83.86462773834667,-30.88203033133294,-193.81664168138076,-1568.3891137119886,
-625.1300632126593,11.348320260245291,86.2400846229115,-34.34797385751791,-201.59515325960106,-1572.5583138111842,
-644.8565372928472,15.54914856964392,89.27273109477014,-34.54978691048879,-207.5728783748357,-1576.6864458933726,
-664.0601852796184,19.75371561877146,92.5222333376598,-33.71286306508555,-212.9034738678004,-1580.7919780933773,
-684.9999515975805,23.959660306612204,94.9924272767759,-37.06363593365957,-220.52177986201667,-1687.9567479529373,
-705.7950533510528,28.165385847919506,97.53377710086362,-40.02746393614449,-227.94508821159664,-1795.1215178124974,
-723.2807250506821,32.37046184640494,101.37217182993922,-38.06561928064531,-231.79740606938685,-1902.2862876720574,
-741.5710334185794,36.27710117490188,104.95971904931044,-37.49483189368576,-236.59666903772552,-2009.4510575316174,
-761.2939894556116,40.07355970721117,107.99387844547076,-39.26069456100203,-242.9824316533481,-2116.6158273911774,
-780.673982920181,43.961452960209755,111.17205721119967,-38.99273638710973,-248.59537218073783,-2223.780597250737,
-801.9142250692005,48.01080324245262,113.49110827039217,-42.56464633366868,-256.47726641507285,-2330.945367110297,
-823.1055716653111,52.1579603805679,115.83505791379206,-45.91074802833938,-264.270256994386,-2335.3635631491975,
-844.4083925096667,56.34485449171198,118.12207276932489,-49.78190950793583,-272.2679734606394,-2339.57269455707,
-863.6134406147505,60.54439940988418,121.37101617495007,-48.82205931923437,-277.5630489902537,-2343.708494633346,
-882.0638110507723,64.74862982353062,124.90326062172322,-46.541705637556895,-281.9355425284783,-2347.816078072017,
-902.5809310910766,68.95511656832531,127.57832098667292,-48.81467835262064,-288.9951650293539,-2351.909849207027,
-921.066699786115,73.16202095066514,131.09810254132933,-46.65267197456842,-293.4318025047758,-2356.0010471182045,
-940.3880887220303,77.36812080171636,134.30019287851695,-46.10389232509309,-298.925302544542,-2360.097197373185,
-959.0294016425876,81.57270371261944,137.76422677527944,-44.16864728950831,-303.54054463156774,-2364.202632840418,
-979.2557390938659,85.77542626065367,140.57479082412397,-45.60220437524154,-310.18664987639085,-2368.3193641444627,
-999.418462136124,89.97619443490542,143.41439000256267,-46.82380651313555,-316.7341540452156,-2372.4478565270992,
-1019.9787111436854,94.17507086447323,146.0689691153418,-48.970661726886284,-323.7920033271438,-2376.5876330150445,
-1040.9429275514801,98.37220186343644,148.5270322835128,-52.10346945990986,-331.37441479798855,-2380.7377359402576,
-1060.043502996574,102.56772119893239,151.81734361824192,-50.835998697017814,-336.506644262631,-2384.89730337275,
-1080.9237978106603,106.76137941081016,154.31691819502782,-53.643052590662286,-343.9507618578437,-2389.0677181145466,
-1100.3555446380035,110.9533185432472,157.4738094659755,-52.96900152207685,-349.48208875814794,-2393.248075953672,
-1120.6314702515083,115.14461406766284,160.2615873080352,-54.193407546260914,-356.1079836780432,-2397.4321379116327,
-1140.468669174089,119.33563604126705,163.24625380260346,-54.383854074955956,-362.15773354307726,-2401.617771207018,
-1161.739248513198,123.52643917973202,165.54979795566769,-58.13135834340902,-370.10317260526557,-2405.804660253332,
